DEPTH,GR,SGR
399.1356,70.0759,0.1933790577637426
399.288,70.0759,0.1933790577637426
399.4404,70.0759,0.1933790577637426
399.5928,70.0759,0.1933790577637426
399.7452,70.0759,0.1933790577637426
399.8976,70.0759,0.1933790577637426
400.05,70.0759,0.1933790577637426
400.2024,70.0759,0.1933790577637426
400.3548,70.0759,0.1933790577637426
400.5072,70.0759,0.1933790577637426
400.6596,74.3671,0.2161269362425319
400.812,81.4245,0.25353858743012697
400.9644,85.6956,0.2761799147443415
401.1168,84.5083,0.26988597456027497
401.2692,81.2172,0.25243967915070564
401.4216,78.0561,0.23568252062644646
401.574,77.3004,0.2316765149016093
401.7264,78.691,0.2390481591532416
401.8788,80.1076,0.24655763078193593
402.0312,79.1113,0.24127619171397874
402.1836,74.6307,0.21752429380382224
402.336,69.4235,0.18992065081007878
402.4884,65.3931,0.1685552869442807
402.6408,63.2934,0.15742466603593008
402.7932,64.4592,0.16360463358127234
402.9456,67.9076,0.18188478462206684
403.098,71.401,0.20040348304623784
403.2504,73.7729,0.2129770505713685
403.4028,76.0068,0.2248190727874776
403.5552,78.6579,0.23887269430013572
403.7076,80.5525,0.24891606924558554
403.86,83.7113,0.2656610353480277
404.0124,86.3601,0.2797024644388688
404.1648,85.1056,0.2730522934956265
404.3172,84.6553,0.2706652293459717
404.4696,86.0056,0.2778232411631579
404.622,85.298,0.27407221608588545
404.7744,83.6995,0.26559848292305344
404.9268,82.1845,0.25756738768270904
405.0792,80.6808,0.249596194340857
405.2316,81.1568,0.25211949555168467
405.384,82.0612,0.2569137678522572
405.5364,81.0505,0.25155599362161957
405.6888,80.2167,0.2471359756603
405.8412,81.7593,0.25531337996244863
405.9936,84.3262,0.2689206528155444
406.146,84.391,0.2692641610476067
406.2984,82.947,0.26160944056770086
406.4508,83.5772,0.2649501641455656
406.6032,85.0652,0.27283813095588405
406.7556,86.0959,0.2783019262458002
406.908,85.5228,0.2752638927921755
407.0604,81.7446,0.255235454483879
407.2128,76.6651,0.22830875595362857
407.3652,75.1053,0.2200401735405004
407.5176,78.8254,0.23976062067159296
407.67,82.3496,0.2584425915270528
407.8224,83.6915,0.26555607449934204
407.9748,83.9001,0.2666618741476165
408.1272,81.2068,0.2523845481998808
408.2796,77.8236,0.23445002581233418
408.432,75.9289,0.22440612076158795
408.5844,75.0502,0.21974808552218822
408.7368,75.1842,0.220458426619354
408.8892,76.4929,0.22739591463324096
409.0416,79.9245,0.24558700798424143
409.194,82.0071,0.25662698088690894
409.3464,79.3786,0.24269316317123557
409.4988,77.693,0.23375770829524573
409.6512,82.3765,0.25858518985178236
409.8036,90.2023,0.3000701701368564
409.956,94.9651,0.3253180251934322
410.1084,96.2437,0.33209595151310506
410.2608,95.7994,0.32974069368123377
410.4132,93.1686,0.3157946835437433
410.5656,87.7769,0.2872129962781559
410.718,80.2372,0.24724464724606043
410.8704,74.1269,0.2148536233205975
411.0228,72.3836,0.2056122976885893
411.1752,74.1581,0.2150190161730719
411.3276,76.6535,0.22824726373924703
411.48,77.9477,0.2351078864851571
411.6324,80.5482,0.24889327471784065
411.7848,84.8504,0.2716994647792332
411.9372,85.1419,0.273244721718217
412.0896,82.9084,0.2614048199232934
412.242,81.8857,0.25598343305708865
412.3944,81.1592,0.25213221807879804
412.5468,80.2446,0.24728387503799348
412.6992,76.7519,0.2287688873508972
412.8516,72.3711,0.20554603452654022
413.004,71.2263,0.19947738909344037
413.1564,73.0577,0.20918573749157024
413.3088,75.7699,0.22356325334032412
413.4612,76.1482,0.22556864167657645
413.6136,74.3256,0.21590694254452908
413.766,74.2811,0.21567104568763446
413.9184,76.9374,0.229752232675705
414.0708,77.5421,0.2329577794029897
414.2232,75.1619,0.2203402131382585
414.3756,75.0119,0.2195450551936699
414.528,75.6126,0.2227293977090989
414.6804,74.4136,0.2163734352053544
414.8328,74.6135,0.21743311569284274
414.9852,75.5122,0.222197171991521
415.1376,73.094,0.20937816571416065
415.29,69.4492,0.1900568878712516
415.4424,70.8107,0.19727427148163368
415.5948,75.0894,0.219955886798374
415.7472,75.3906,0.22155256395110787
415.8996,71.8899,0.20299516784030014
416.052,68.9998,0.18767459466926426
416.2044,69.8411,0.19213437052781326
416.3568,72.7073,0.2073282485330114
416.5092,74.1869,0.21517168649843285
416.6616,74.4605,0.21662205458936237
416.814,75.2933,0.22103677149771805
416.9664,77.1885,0.23108332707494628
417.1188,78.428,0.23765398222372966
417.2712,78.7604,0.23941605222893791
417.4236,79.5079,0.2433785893194709
417.576,78.3623,0.2373057030439999
417.7284,77.6178,0.2333590691123587
417.8808,80.8174,0.250320318175729
418.0332,82.1027,0.2571337615502601
418.1856,79.6029,0.24388218935104364
418.338,78.4219,0.2376216458006497
418.4904,79.0636,0.24102333148759952
418.6428,77.935,0.23504056311251528
418.7952,74.5082,0.2168749148157416
418.9476,71.5607,0.20125006120457645
419.1,70.8953,0.19772274056238168
419.2524,73.6302,0.21222059031341656
419.4048,78.8911,0.2401088998513227
419.5572,81.9177,0.25615306675193417
419.7096,80.7555,0.24999218299726206
419.862,79.9208,0.24556739408827497
420.0144,82.5458,0.2594826581185747
420.1668,84.3553,0.2690749134567946
420.3192,83.9466,0.26690837311043897
420.4716,83.9752,0.2670599832252072
420.624,82.9465,0.2616067900412189
420.7764,82.976,0.2617631711036546
420.9288,84.6608,0.27069438513727323
421.0812,84.1846,0.2681700237158528
421.2336,83.4591,0.26432410979052623
421.386,82.2573,0.2579533043384827
421.5384,80.616,0.2492526861087947
421.6908,81.4207,0.2535184434288641
421.8432,83.0415,0.26211039007279163
421.9956,84.7568,0.27120328622180995
422.148,86.781,0.2819336776313843
422.3004,87.0828,0.2835335354158965
422.4528,85.2689,0.27391795544463526
422.6052,83.5454,0.2647815906613128
422.7576,83.3294,0.2636365632211053
422.91,85.8424,0.2769581093194455
423.0624,89.8836,0.29838072455725395
423.2148,89.8436,0.298168682438697
423.3672,86.6697,0.2813436704364996
423.5196,85.7904,0.27668245456532153
423.672,86.0659,0.27814289465688247
423.8244,85.6092,0.2757219037682585
423.9768,84.0801,0.2676160636811228
424.1292,81.1967,0.25233100756494525
424.2816,77.0781,0.2304980908277291
424.434,71.5302,0.20108837908917676
424.5864,67.6132,0.18032415462948773
424.7388,66.0035,0.17179104967345973
424.8912,64.3683,0.1631227678668517
425.0436,66.1604,0.1726227848834993
425.196,72.5433,0.2064588758469279
425.3484,78.0306,0.23554734377586642
425.5008,80.8462,0.2504729885010899
425.6532,82.8954,0.2613359062347624
425.8056,85.2047,0.2735776278443514
425.958,87.3899,0.2851614887811174
426.1104,87.518,0.2858405536657961
426.2628,87.8529,0.2876158763034141
426.4152,90.2126,0.3001247709823848
426.5676,91.9919,0.3095569345210943
426.72,92.1736,0.31052013584463917
426.8724,92.794,0.31380890910345743
427.0248,94.2526,0.32154102495663656
427.1772,91.9251,0.3092028241831042
427.3296,86.5753,0.28084325103670515
427.482,82.8446,0.26106661274419507
427.6344,83.3739,0.2638724600779999
427.7868,88.1561,0.28922315556207573
427.9392,92.4237,0.3118459291909165
428.0916,92.6592,0.31309432716392055
428.244,91.2353,0.3055461578485896
428.3964,90.0124,0.29906350017900735
428.5488,87.8177,0.287429279239084
428.7012,86.4983,0.28043506995848305
428.8536,87.4615,0.28554104417333437
429.006,88.4949,0.29101915230625314
429.1584,87.4571,0.2855177195402931
429.3108,86.3106,0.27944006231715457
429.4632,86.2317,0.279021809238301
429.6156,85.1049,0.2730485827585518
429.768,84.4107,0.269368591790996
429.9204,85.5142,0.27521830373668577
430.0728,86.4666,0.2802670265795267
430.2252,88.4853,0.2909682621977994
430.3776,91.3639,0.3062278732597502
430.53,92.534,0.3124306353328373
430.6824,92.4016,0.3117287759204138
430.8348,90.7793,0.30312887769704044
430.9872,87.423,0.2853369536342233
431.1396,83.9467,0.2669089032157354
431.292,82.5784,0.2596554724451986
431.4444,82.423,0.25883168881460483
431.5968,83.2063,0.26298400360124624
431.7492,85.3809,0.2745116733765947
431.9016,87.278,0.2845683009544544
432.054,88.5176,0.2911394862085342
432.2064,87.6616,0.2866017848714155
432.3588,86.9126,0.2826312962014366
432.5112,87.9531,0.2881470418103993
432.6636,89.7508,0.29767674472364486
432.816,97.1875,0.33709908530045624
432.9684,108.3352,0.3961936334263884
433.1208,112.4993,0.4182677480734631
433.2732,104.9958,0.37849129715866164
433.4256,92.2754,0.31105978303636667
433.578,84.106,0.2677533609528884
433.7304,82.5011,0.25924570105108724
433.8828,82.5731,0.2596273768644898
434.0352,81.2396,0.2525584227370975
434.1876,81.2629,0.25268193727115695
434.34,82.4121,0.25877390733729805
434.4924,84.1492,0.2679823664409299
434.6448,85.168,0.2733830792005754
434.7972,83.2819,0.26338476320531884
434.9496,83.0396,0.26210031807216017
435.102,84.4844,0.2697592793944371
435.2544,83.4262,0.26414970514801306
435.4068,81.1456,0.2520601237584887
435.5592,80.0174,0.24607947580458997
435.7116,80.517,0.24872788186536623
435.864,78.5241,0.23816341341356276
436.0164,72.2244,0.20476837005673265
436.1688,69.4846,0.19024454514617448
436.3212,73.7622,0.21292032930465452
436.4736,81.1529,0.25209882144512535
436.626,86.6224,0.28109293063130597
436.7784,90.0143,0.2990735721796388
436.9308,90.7534,0.3029915804252748
437.0832,86.4776,0.28032533816212984
437.2356,81.2776,0.25275986274972667
437.388,78.8253,0.23976009056629655
437.5404,79.4175,0.24289937413153218
437.6928,80.1744,0.24691174111992603
437.8452,81.9781,0.25647325035095514
437.9976,85.7742,0.2765965775073059
438.15,87.6677,0.2866341212944954
438.3024,87.0289,0.28324780866114097
438.4548,84.9298,0.27212036838456877
438.6072,84.6192,0.2704738613339741
438.7596,84.8748,0.2718288104715529
438.912,83.645,0.26530957553651957
439.0644,85.3422,0.2743065226268909
439.2168,86.4628,0.2802468825782638
439.3692,84.1082,0.26776502326940904
439.5216,82.4956,0.25921654525978566
439.674,80.3049,0.24760352853171808
439.8264,79.5492,0.2435975228068809
439.9788,81.2229,0.2524698951526
440.1312,80.9723,0.2511414512798407
440.2836,81.5002,0.25393987713949606
440.436,82.816,0.26091500262942685
440.5884,80.6952,0.24967252950353747
440.7408,78.364,0.23731471483403857
440.8932,79.9968,0.24597027411353312
441.0456,84.5602,0.27016109920910253
441.198,88.7951,0.29261052840602303
441.3504,89.308,0.2953294384712195
441.5028,87.509,0.28579284418912076
441.6552,87.3587,0.284996095928643
441.8076,89.6637,0.29721502301048713
441.96,91.6665,0.3078319718866335
442.1124,90.3096,0.30063897311988547
442.2648,87.531,0.2859094673543271
442.4172,86.8956,0.28254117830104997
442.5696,87.2711,0.2845317236890033
442.722,86.6828,0.281413114230327
442.8744,84.5377,0.2700418255174143
443.0268,80.3486,0.24783518454624154
443.1792,76.9026,0.2295677560325605
443.3316,78.0429,0.23561254672732265
443.484,82.2208,0.25775981590529945
443.6364,85.0582,0.2728010235851365
443.7888,86.6127,0.28104151041755593
443.9412,87.5337,0.2859237801973296
444.0936,88.0994,0.2889225858590213
444.246,88.1441,0.28915954292650864
444.3984,86.1846,
444.5508,85.9125,
444.7032,88.2448,
444.8556,88.1215,
445.008,85.3567,
445.1604,84.279,
445.3128,84.9743,
445.4652,86.4561,
445.6176,88.3115,
445.77,87.3622,
445.9224,85.404,
446.0748,85.3145,
446.2272,84.3045,
446.3796,82.577,
446.532,82.4733,
446.6844,82.1847,
446.8368,83.6949,
446.9892,86.1209,
447.1416,84.8814,
447.294,82.5602,
447.4464,81.8441,
447.5988,83.1755,
447.7512,84.4693,
447.9036,83.1476,
448.056,80.6903,
448.2084,80.0593,
448.3608,80.0142,
448.5132,79.8425,
448.6656,82.7735,
448.818,85.424,
448.9704,83.6233,
449.1228,81.4692,
449.2752,82.0804,
449.4276,84.4181,
449.58,86.9935,
449.7324,88.2359,
449.8848,87.7951,
450.0372,88.0347,
450.1896,90.1035,
450.342,89.7845,
450.4944,87.1873,
450.6468,87.9655,
450.7992,90.1472,
450.9516,88.641,
451.104,84.8058,
451.2564,82.3295,
451.4088,83.0387,
451.5612,84.8241,
451.7136,85.1855,
451.866,86.9286,
452.0184,89.5039,
452.1708,87.9338,
452.3232,84.6261,
452.4756,84.2385,
452.628,86.0328,
452.7804,86.1156,
452.9328,83.9238,
453.0852,84.3961,
453.2376,85.9823,
453.39,83.8058,
453.5424,82.5992,
453.6948,85.5476,
453.8472,87.6931,
453.9996,86.8685,
454.152,84.4996,
454.3044,83.6953,
454.4568,85.9896,
454.6092,89.3743,
454.7616,92.4128,
454.914,91.4756,
455.0664,87.3208,
455.2188,86.9617,
455.3712,90.4168,
455.5236,91.2855,
455.676,88.5113,
455.8284,87.7635,
455.9808,88.9033,
456.1332,87.5457,
456.2856,85.6689,
456.438,87.1107,
456.5904,90.9015,
456.7428,92.7251,
456.8952,90.9017,
457.0476,87.1785,
457.2,85.2636,
457.3524,87.5705,
457.5048,88.3415,
457.6572,84.0785,
457.8096,82.5713,
457.962,85.6868,
458.1144,86.3411,
458.2668,84.4639,
458.4192,83.6548,
458.5716,82.5875,
458.724,81.4785,
458.8764,81.9309,
459.0288,81.7133,
459.1812,82.7239,
459.3336,86.5894,
459.486,87.0717,
459.6384,83.8445,
459.7908,81.1697,
459.9432,80.2979,
460.0956,83.2847,
460.248,86.6621,
460.4004,85.1365,
460.5528,82.214,
460.7052,80.8459,
460.8576,78.9912,
461.01,77.757,
461.1624,78.7257,
461.3148,79.2294,
461.4672,78.5099,
461.6196,79.5398,
461.772,81.2719,
461.9244,80.7861,
462.0768,79.8597,
462.2292,80.3277,
462.3816,80.8728,
462.534,81.1102,
462.6864,80.7779,
462.8388,80.6933,
462.9912,82.245,
463.1436,82.468,
463.296,80.7594,
463.4484,80.721,
463.6008,82.3082,
463.7532,83.233,
463.9056,83.9329,
464.058,83.6858,
464.2104,80.8009,
464.3628,77.5099,
464.5152,75.5057,
464.6676,75.2716,
464.82,76.7478,
464.9724,78.7425,
465.1248,81.3631,
465.2772,82.9201,
465.4296,82.3564,
465.582,80.8907,
465.7344,78.6945,
465.8868,76.6777,
466.0392,75.6553,
